年月日,時刻コード,システムプライス,売500MW,買500MW,売1000MW,買1000MW,売5000MW,買5000MW
2021/04/07,7,8.00,7.40,8.44,7.40,8.70,5.82,8.94
2021/04/07,8,7.40,7.37,7.40,7.23,7.40,5.82,8.44
2021/04/07,9,7.42,7.37,7.45,7.37,7.45,6.07,8.57
2021/04/07,10,7.42,7.39,7.45,7.37,7.45,6.24,8.94
2021/04/07,11,7.70,7.42,8.44,7.42,8.44,6.30,8.94
2021/04/07,12,7.81,7.42,8.70,7.42,8.94,6.34,10.45
2021/04/07,13,8.30,7.42,10.00,7.42,10.24,5.70,15.01
2021/04/07,14,7.37,6.52,7.37,6.52,7.42,5.37,11.19
2021/04/07,15,5.63,5.56,5.63,5.48,5.63,5.16,6.06
2021/04/07,16,5.63,5.56,5.63,5.46,5.63,5.02,5.76
2021/04/07,17,5.26,5.18,5.26,5.13,5.26,4.52,5.42
2021/04/07,18,5.18,5.18,5.26,5.13,5.26,4.34,5.42
2021/04/07,19,5.03,4.94,5.03,4.80,5.03,3.20,5.12
2021/04/07,20,4.52,4.39,4.61,4.29,4.61,0.01,4.94
2021/04/07,21,3.00,1.00,3.30,0.01,3.20,0.01,4.24
2021/04/07,22,0.01,0.01,1.00,0.01,1.00,0.01,3.87
2021/04/07,23,0.01,0.01,0.01,0.01,0.01,0.01,4.05
2021/04/07,24,0.01,0.01,0.01,0.01,0.01,0.01,1.00
2021/04/07,25,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2021/04/07,26,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2021/04/07,27,0.01,0.01,0.01,0.01,0.01,0.01,2.00
2021/04/07,28,0.01,0.01,3.00,0.01,3.10,0.01,4.49
2021/04/07,29,3.62,3.20,4.06,1.00,4.08,0.01,4.72
2021/04/07,30,4.10,4.06,4.14,4.06,4.24,0.01,4.95
2021/04/07,31,4.69,4.61,4.69,4.45,4.69,0.01,5.18
2021/04/07,32,5.07,4.94,5.18,4.85,5.18,3.30,5.63
2021/04/07,33,5.63,5.63,5.63,5.63,5.63,5.11,6.85
2021/04/07,34,6.07,5.68,6.50,5.63,6.50,5.25,8.44
2021/04/07,35,7.40,7.39,7.98,7.29,7.98,5.47,10.00
2021/04/07,36,8.44,7.98,8.94,7.97,9.34,6.07,12.31
2021/04/07,37,10.00,8.94,10.45,8.61,11.16,7.37,15.02
2021/04/07,38,10.45,9.42,11.16,8.94,11.19,7.39,15.48
2021/04/07,39,8.48,8.05,8.94,7.97,10.00,6.91,12.18
2021/04/07,40,7.87,7.45,8.05,7.40,8.05,6.37,10.45
2021/04/07,41,7.45,7.40,7.72,7.37,8.44,6.36,10.45
2021/04/07,42,7.40,7.37,7.45,7.14,7.72,5.81,9.65
2021/04/07,43,7.08,7.03,7.37,6.66,7.40,5.54,8.44
2021/04/07,44,7.08,6.91,7.30,6.45,7.37,5.54,8.34
2021/04/07,45,7.41,7.37,7.78,7.29,7.78,5.90,8.64
2021/04/07,46,7.37,7.29,7.41,6.91,7.41,5.30,8.44
2021/04/07,47,7.37,7.29,7.42,6.53,7.42,5.28,8.44
2021/04/07,48,6.74,6.53,7.16,6.34,7.29,5.18,8.44
2021/04/08,1,6.55,6.52,6.55,6.36,6.81,5.34,9.78
2021/04/08,2,6.37,5.75,6.41,5.63,6.51,5.28,8.44
2021/04/08,3,5.63,5.63,5.71,5.56,5.79,5.29,7.38
2021/04/08,4,5.79,5.79,5.79,5.79,6.34,5.37,7.42
2021/04/08,5,6.67,6.36,6.73,6.34,7.00,5.37,8.14
2021/04/08,6,6.91,6.36,6.91,6.36,7.19,5.40,8.27
2021/04/08,7,6.64,6.64,6.64,6.40,7.36,5.43,8.14
2021/04/08,8,6.44,6.44,6.52,6.44,6.52,5.43,7.43
2021/04/08,9,7.36,7.36,7.36,7.33,7.37,5.81,8.30
2021/04/08,10,7.36,7.36,7.36,7.36,7.38,5.81,9.01
2021/04/08,11,7.40,7.40,7.40,7.40,7.45,6.25,10.23
2021/04/08,12,7.65,7.40,7.65,7.40,7.71,6.36,12.29
2021/04/08,13,8.44,7.78,8.44,7.78,9.42,6.34,15.02
2021/04/08,14,7.37,7.37,7.40,7.08,7.45,5.63,15.00
2021/04/08,15,6.46,6.24,6.51,6.24,6.74,5.29,9.42
2021/04/08,16,5.68,5.63,5.68,5.63,6.47,5.14,7.92
2021/04/08,17,5.60,5.37,5.63,5.29,5.63,4.94,6.59
2021/04/08,18,5.60,5.29,5.60,5.29,5.63,4.84,6.25
2021/04/08,19,5.29,5.17,5.29,5.12,5.50,4.58,5.63
2021/04/08,20,5.09,5.07,5.09,5.07,5.12,3.00,5.63
2021/04/08,21,4.80,4.62,4.82,4.62,4.82,0.01,5.30
2021/04/08,22,4.61,4.08,4.24,4.13,4.66,0.01,5.07
2021/04/08,23,4.11,4.05,4.11,4.08,4.24,0.01,4.85
2021/04/08,24,4.11,4.05,4.11,4.05,4.24,0.01,4.82
2021/04/08,25,0.01,0.01,0.01,0.01,1.00,0.01,4.07
2021/04/08,26,0.01,0.01,0.01,0.01,1.00,0.01,4.07
2021/04/08,27,4.77,4.62,4.69,4.24,4.86,0.01,5.12
2021/04/08,28,5.00,4.91,5.00,4.66,5.01,0.01,5.20
2021/04/08,29,5.17,5.12,5.16,5.05,5.20,0.01,5.63
2021/04/08,30,5.26,5.20,5.28,5.12,5.31,3.00,5.63
2021/04/08,31,5.28,5.27,5.34,5.21,5.38,3.83,5.63
2021/04/08,32,5.63,5.63,5.63,5.63,5.63,5.09,7.04
2021/04/08,33,5.65,5.63,5.89,5.63,6.37,5.29,8.11
2021/04/08,34,7.29,6.64,7.37,6.47,7.41,5.37,10.85
2021/04/08,35,8.06,8.05,8.10,7.97,8.44,5.63,11.00
2021/04/08,36,9.42,9.34,9.97,9.05,9.97,6.45,12.06
